review_ID,review_text,review_rating,review_datetime_utc,review_likes
1,,5,5/14/2022 13:36,0
2,"I had a positive experience with my salesperson and my inserts have made a world of difference in my life. So glad I bought them, because they help with the pain.",5,4/5/2022 19:33,0
3,"Started off with misunderstanding however was professionally and timely resolved.
Am looking forward to using the arches and hopefully receive the relief I felt in the store.
Lucio was a great person to work with many suggestions and options.
Highly Recommended!!!!",5,3/30/2022 18:59,0
4,,5,3/24/2022 14:17,0
5,Thanks to The Good Feet Store I now have the support and comfort I need.  I’m very satisfied with the product and can’t say enough about the great customer service I received.,5,3/17/2022 22:59,0
6,,5,3/4/2022 17:03,0
7,I believe new insoles really helped to address a lower back muscle cramping. It’s been about 2 weeks and I don’t feel that ache as much. The back is more relaxed I think. I usually walk 4-6 miles a day and so for so good!,5,1/29/2022 14:11,0
8,The staff was friendly and very helpful,5,1/6/2022 18:09,0
9,"I’m glad I went to the Good Feet Store. My feet feel so much better, all day",5,12/31/2021 17:08,0
10,LET ME FIRST STATE ..... THE GENTLEMAN THAT TOOK CARE OF ME WAS VERY POLITE.... HOWEVER VERY DECEIVING... I WAS IN SO MUCH PAIN AND I BELIEBVE THEY PREY ON THAT FACT.  I FEEL I WAS MISDIAGNOISTE. I DI NT GET COMPLET AND TOTAL RELIEFE... I WENT O SEE MY ORTH DOCTOR AND I HAVE A STRESS FRACTURE I MY FOOT!!!! i AM SO OUT DONE... I FEEL I SHOULD BE ABLE TO RETURN THESE SUPPORTS THAT I NEVER REALLY NEEDED IN THE FIRTS PLACE.... SO WHOMEVER IS READING THIS NO MATTER HOW MUCH PAIN YOU ARE IN PLEASE GO SEE YOUR FOOT SPECIALIST OR ORTH DOCTOR.... HE EVEN SAID THEY HAVE AND ARE A RACKET..... I AM NOT A FAN,1,12/13/2021 20:10,0
11,I loved the time that they spent with me.  Explained in detail what I needed to have and how to best use the Good Feet arches.  Since my purchase I have noticed a great relief.  Thank you so much.,5,10/20/2021 1:01,0
12,,5,10/13/2021 19:54,0
13,,4,10/2/2021 21:57,0
14,"So far very dissatisfied with the inserts. Going on 4 weeks with no relief from them. Had to go back to the doctor to get anti inflammation drugs so I could walk.
Good feet had texted me about my satisfaction and I gave it a 2 rating, they followed with a phone call saying my salesman would be getting back to me in 24 to 48 hours. That was almost a week ago and no phone call. Right now I would not recommend.",1,9/16/2021 16:10,1
15,Service was great. But I can't seem to find the right maintainer insert. Im on my second pair in 4 weeks .after a couple hours of walking each day my left heel is still in pain. Hopefully the next set will work out.,4,8/28/2021 20:01,0
16,,5,8/16/2021 12:49,0
17,"At 61 I have had foot pain since I started wearing shoes. I have pancake flat feet. This has resulted in hip,knee and back pain as well. After hearing the commercials for Good Feet I went in for the free consultation. Within an hour the pain I thought I would have to live with and have lived with for years was gone. I will be hiking in the Grand Canyon because of Good Feet. If you have pain don't wait go and get the free consultation. The price is high but there is financing and to be pain free is priceless!",5,8/5/2021 18:32,0
18,,1,6/2/2021 16:07,0
19,,5,5/16/2021 2:01,0
20,"I was here at good feet about 22 years ago!  I followed there wearing instructions to the letter. I cooked at a restaurant and was always on my feet. They said I would need the 3 step system. One had a ball in them to give you arch support. One was a gel for any heal shoe. And the last hard acrylic type for all other shoes. I was a single mother, my son’s father passed away.. So I was desperate for relief. I couldn’t use them and they wouldn’t give me a refund. They were around $600.00 dollars. I didn’t have insurance. I finally made a appointment pediatric dollar paid cash and had actual cast made of my feet and they were $250 and $100 office call. They were wonderful. These may work for some but not all. Just please look around and make some phone calls, before you decide.",1,5/10/2021 12:53,2
21,,5,4/8/2021 13:17,0
22,"2/20/21 I first talked to online chat. I kept asking how does The Good Feet store do their business.  The only thing the online chat lady said was the cost of the shoes, I'm think that's all I needed. No, the do a bare and switch.  They want to sell you 3 step process,  which cost 1,700.00 people.  Don't get fooled. We want help but not the debt.  It's ridiculous  and  ashamed!  Y'all need to tell people upfront what it cost before y'all make people think it comes with the high  price of the shoes. Then I read a review  where they don't do refunds. Oh, no scams!!!",1,2/21/2021 18:50,2
23,,5,1/8/2021 17:08,0
24,,5,12/31/2020 23:08,0
25,"I love my Good Feet Supports!  My ankles and knees feel great again!
Thank You Very Much Good Feet Store!!!",5,12/27/2020 1:07,0
26,"Was fast to get fitted. Friendly staff.
Follow the advise of getting used to wearing them!!!

They need to devise someway to make them stay in place in your shoe!
Don't waste your money on the cushions. Can get the same thing at Walmart.",4,12/7/2020 22:39,0
27,"Like so many of the reviews here, it was a snake oil sales pitch & I fell for it.  Yeah, felt good in store & walked upright. Yet, the person never looked at my feet which would have told him that my shoes were too tight for bunions & that was causing the pains he stated the good feet materials would alleviate. Spent a whole 10 minutes with us & KNEW the answer...... NOPE!! It took a PT student at a running shoe store to make the connection & now with wider shoes, the pain is gone. So, beware; they are there to do 1 thing & that is to promise relief to desperate people with the one (overpriced) product they have. May work for some, & it sure was an expensive lesson for me.",1,12/2/2020 15:24,1
28,"I have heard their commercials blasting all over the radio, so I tried I had severe foot pain and needed help. Well I went to the Mayfair store and it seems the pitch began, these did feel great on my feet in store, but in a short time had more pain than before. The sales rep made it look like she knew what she was doing and yet it was all part of the show. Note these may help some people, but these people are not medical professionals and do not buy these over priced inserts without a doctors opinion first. Very expensive and totally dissatisfied, couldn't get my money back either.",1,11/24/2020 23:18,1
29,,5,11/24/2020 11:32,0
30,,5,11/22/2020 21:10,0
